
n ; porownania(c); przestawienia(s); c/n; s/n;
8200;13410.2;13761.28;1.635390243902439;1.6782048780487806;
8300;13596.98;13927.7;1.6381903614457831;1.6780361445783134;
8400;13692.57;13998.99;1.630067857142857;1.6665464285714287;
8500;13869.11;14201.79;1.63166;1.6707988235294118;
8600;14066.6;14422.63;1.6356511627906978;1.67705;
8700;14155.87;14477.91;1.6271114942528737;1.6641275862068965;
8800;14708.43;15109.02;1.6714125;1.7169340909090909;
8900;14812.74;15201.04;1.664352808988764;1.7079820224719102;
9000;15139.37;15561.78;1.6821522222222223;1.7290866666666667;
9100;15408.03;15827.57;1.6931901098901099;1.7392934065934065;
9200;15077.62;15445.07;1.6388717391304348;1.6788119565217392;
9300;15273.46;15661.68;1.6423075268817204;1.684051612903226;
9400;15806.81;16236.18;1.6815755319148935;1.7272531914893616;
9500;16132.9;16575.57;1.6982;1.744796842105263;
9600;15838.36;16213.65;1.6498291666666667;1.688921875;
9700;15993.49;16408.43;1.6488134020618557;1.6915907216494845;
9800;16181.04;16562.52;1.651126530612245;1.69005306122449;
9900;16391.4;16788.42;1.65569696969697;1.6957999999999998;
10000;16597.75;17011.19;1.659775;1.7011189999999998;

n ; porownania(c); przestawienia(s); c/n; s/n;
100;190.65;215.59;1.9065;2.1559;
200;361.81;398.75;1.80905;1.99375;
300;536.75;590.56;1.7891666666666666;1.9685333333333332;
400;697.41;749.5;1.743525;1.87375;
500;901.12;969.04;1.80224;1.93808;
600;1015.75;1090.41;1.6929166666666666;1.8173500000000002;
700;1231.21;1316.14;1.7588714285714286;1.8802;
800;1425.7;1521.57;1.782125;1.9019625;
900;1611.28;1715.91;1.7903111111111112;1.9065666666666667;
1000;1675.19;1764.65;1.67519;1.76465;
1100;1951.51;2062.55;1.7741;1.8750454545454547;
1200;2058.39;2177.7;1.715325;1.8147499999999999;
1300;2296.35;2432.31;1.7664230769230769;1.8710076923076924;
1400;2378.28;2507.03;1.6987714285714288;1.7907357142857143;
1500;2607.88;2749.04;1.7385866666666667;1.8326933333333333;
1600;2665.11;2794.15;1.66569375;1.74634375;
1700;2839.58;2971.4;1.6703411764705882;1.7478823529411764;
1800;3071.33;3223.82;1.7062944444444443;1.791011111111111;
1900;3228.88;3380.14;1.6994105263157895;1.7790210526315788;
2000;3415.56;3575.4;1.70778;1.7877;
2100;3409.21;3539.39;1.6234333333333333;1.6854238095238094;
2200;3610.91;3754.35;1.641322727272727;1.7065227272727272;
2300;3854.54;4018.71;1.6758869565217391;1.7472652173913044;
2400;3990.15;4148.36;1.6625625;1.7284833333333331;
2500;4140.92;4309.51;1.656368;1.7238040000000001;
2600;4301.62;4478.69;1.6544692307692308;1.7225730769230767;
2700;4560.21;4748.62;1.6889666666666667;1.7587481481481482;
2800;4693.72;4886.43;1.6763285714285716;1.7451535714285715;
2900;4889.78;5093.19;1.6861310344827585;1.7562724137931034;
3000;5030.11;5238.01;1.6767033333333332;1.7460033333333334;
