
n ; porownania(c); przestawienia(s); c/n; s/n;
7400;7460.72;7477.42;1.0082054054054055;1.0104621621621621;
7500;7956.89;7974.95;1.0609186666666668;1.0633266666666668;
7600;6992.69;7010.81;0.9200907894736842;0.922475;
7700;8606.86;8626.58;1.117774025974026;1.120335064935065;
7800;7921.96;7939.68;1.0156358974358974;1.0179076923076924;
7900;7363.01;7380.99;0.932026582278481;0.9343025316455696;
8000;7769.09;7787.31;0.97113625;0.9734137500000001;
8100;8253.25;8272.89;1.0189197530864198;1.0213444444444444;
8200;8261.1;8280.52;1.0074512195121952;1.0098195121951221;
8300;8566.58;8585.72;1.0321180722891565;1.034424096385542;
8400;8632.09;8650.59;1.0276297619047619;1.0298321428571429;
8500;8110.75;8129.55;0.9542058823529411;0.9564176470588236;
8600;8636.36;8654.94;1.0042279069767444;1.0063883720930233;
8700;8930.33;8948.69;1.0264747126436782;1.0285850574712645;
8800;8649.71;8668.19;0.9829215909090908;0.9850215909090909;
8900;9042.51;9061.83;1.016012359550562;1.0181831460674158;
9000;8981.71;8999.33;0.9979677777777777;0.9999255555555555;
9100;8392.58;8411.66;0.9222615384615385;0.9243582417582418;
9200;9768.73;9788.87;1.0618184782608695;1.0640076086956523;
9300;9102.67;9120.95;0.9787817204301076;0.980747311827957;
9400;8547.06;8565.5;0.9092617021276596;0.9112234042553191;
9500;8994.61;9014.97;0.946801052631579;0.9489442105263157;
9600;9456.55;9474.95;0.9850572916666666;0.9869739583333335;
9700;9519.3;9538.42;0.9813711340206185;0.9833422680412371;
9800;10350.35;10370.61;1.056158163265306;1.0582255102040816;
9900;8666.72;8685.02;0.8754262626262626;0.8772747474747475;
10000;10044.79;10064.07;1.0044790000000001;1.006407;

n ; porownania(c); przestawienia(s); c/n; s/n;
100;115.27;128.73;1.1527;1.2872999999999999;
200;226.11;240.47;1.1305500000000002;1.20235;
300;302.7;317.74;1.009;1.0591333333333333;
400;430.28;443.96;1.0756999999999999;1.1098999999999999;
500;548.71;565.25;1.09742;1.1305;
600;596.6;613.12;0.9943333333333334;1.0218666666666667;
700;811.83;829.71;1.159757142857143;1.1853;
800;874.04;892.42;1.09255;1.1155249999999999;
900;997.67;1016.27;1.1085222222222222;1.1291888888888888;
1000;941.14;958.6;0.94114;0.9586;
1100;1168.23;1186.19;1.0620272727272728;1.0783545454545456;
1200;1137.15;1155.01;0.947625;0.9625083333333333;
1300;1244.96;1263.32;0.9576615384615385;0.9717846153846154;
1400;1569.92;1589.3;1.1213714285714287;1.1352142857142857;
1500;1681.91;1701.71;1.1212733333333333;1.1344733333333334;
1600;1623.44;1643.36;1.01465;1.0271;
1700;1814.85;1833.97;1.0675588235294118;1.0788058823529412;
1800;1963.08;1982.64;1.0906;1.1014666666666668;
1900;2023.23;2043.97;1.0648578947368421;1.0757736842105263;
2000;2268.69;2290.57;1.134345;1.145285;
2100;1923.47;1943.75;0.9159380952380952;0.9255952380952381;
2200;2259.63;2281.59;1.0271045454545455;1.0370863636363636;
2300;2643.97;2665.33;1.1495521739130434;1.1588391304347825;
2400;2521.55;2543.11;1.0506458333333335;1.0596291666666666;
2500;2659.92;2679.42;1.063968;1.071768;
2600;2394.94;2415.56;0.9211307692307692;0.9290615384615385;
2700;3111.34;3132.32;1.1523481481481481;1.1601185185185185;
2800;2788.79;2808.23;0.9959964285714286;1.0029392857142858;
2900;3056.44;3076.86;1.053944827586207;1.0609862068965519;
3000;2899.66;2918.44;0.9665533333333333;0.9728133333333333;
3100;3293.52;3314.42;1.062425806451613;1.069167741935484;
3200;3434.79;3456.23;1.073371875;1.080071875;
3300;3336.9;3357.04;1.0111818181818182;1.0172848484848485;
3400;3624.36;3645.44;1.0659882352941177;1.0721882352941177;
3500;3426.86;3447.64;0.9791028571428572;0.9850399999999999;
3600;3776.42;3797.86;1.0490055555555555;1.0549611111111112;
3700;3733.04;3753.44;1.0089297297297297;1.0144432432432433;
3800;3881.32;3902.96;1.0214;1.0270947368421053;
3900;4619.6;4641.5;1.1845128205128206;1.1901282051282052;
4000;3617.88;3635.8;0.90447;0.90895;
4100;3677.12;3700.88;0.8968585365853659;0.9026536585365854;
4200;4530.07;4551.11;1.078588095238095;1.0835976190476189;
4300;4421.66;4444.38;1.0282930232558138;1.0335767441860466;
4400;4193.34;4214.42;0.9530318181818183;0.9578227272727273;
4500;4659.07;4680.23;1.0353488888888889;1.040051111111111;
4600;4973.83;4994.45;1.0812673913043478;1.08575;
4700;4811.88;4835.9;1.0238042553191489;1.0289148936170212;
4800;5438.3;5460.24;1.1329791666666666;1.13755;
4900;4657.62;4675.88;0.950534693877551;0.9542612244897959;
5000;5210.83;5231.57;1.042166;1.046314;
5100;5232.19;5253.35;1.0259196078431372;1.0300686274509805;
5200;4783.39;4804.43;0.9198826923076924;0.9239288461538462;
5300;5809.11;5831.09;1.0960584905660378;1.1002056603773585;
5400;4802.47;4822.83;0.8893462962962964;0.8931166666666667;
5500;5755.16;5773.96;1.0463927272727271;1.0498109090909091;
5600;6025.71;6047.97;1.076019642857143;1.079994642857143;
5700;6078.01;6100.57;1.066317543859649;1.0702754385964912;
5800;5803.75;5826.75;1.0006465517241379;1.0046120689655171;
5900;6030.83;6051.61;1.0221745762711865;1.0256966101694915;
6000;5821.51;5843.39;0.9702516666666667;0.9738983333333334;
6100;6503.93;6525.11;1.0662180327868853;1.0696901639344263;
6200;6006.04;6027.84;0.968716129032258;0.9722322580645162;
6300;6109.44;6132.44;0.9697523809523809;0.9734031746031745;
6400;5987.25;6008.95;0.9355078125;0.9388984375;
